as_of_date,sequence,group_id,total_interest_shares,voting_shares_outstanding,ownership_pct,change_shares,ownership_pct_change,signal_status,reporting_basis,source_local,notes
2025-01-01,1,group_loo_disclosed,1033670404,,,,,baseline,annual_report_household_plus_other_deemed,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/annual-reports/fy2025.pdf,Beginning-of-year balance reported in FY2025 annual report
2025-12-31,1,group_loo_disclosed,1033670404,,,0,,unchanged,annual_report_household_plus_other_deemed,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/annual-reports/fy2025.pdf,No change during FY2025
2026-03-04,1,group_loo_disclosed,1035470404,1840160875,0.56271,1800000,,increase,form1_direct_plus_deemed,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-05-director-interest-loo-choon-yong.pdf,After transaction
2026-03-23,1,group_loo_disclosed,1035599204,1840160875,0.56278,128800,0.00007,increase,form1_direct_plus_deemed,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-24-director-interest-loo-choon-yong.pdf,After transaction
2026-03-25,1,group_loo_disclosed,1035758304,1840160875,0.56286,159100,0.00008,increase,form1_direct_plus_deemed,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-26-director-interest-loo-choon-yong.pdf,After transaction
2026-05-18,1,group_loo_disclosed,1036280304,1840190875,0.56313,522000,0.00027,increase,form1_direct_plus_deemed,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-05-19-director-interest-loo-choon-yong-static.pdf,After transaction
2025-01-01,1,group_sarah_disclosed,63065182,,,,,baseline,annual_report_household_plus_other_deemed,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/annual-reports/fy2025.pdf,Primary column includes spouse holdings
2025-12-31,1,group_sarah_disclosed,63065182,,,0,,unchanged,annual_report_household_plus_other_deemed,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/annual-reports/fy2025.pdf,Primary column includes spouse holdings
2026-03-09,1,group_sarah_disclosed,63165182,1840160875,0.03433,100000,,increase,form1_direct_plus_deemed,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-10-director-interest-sarah-lu.pdf,After transaction
